pruned_neurals,ACC,ASR
0.0,0.884,0.933
1.0,0.884,0.933
2.0,0.884,0.933
3.0,0.884,0.933
4.0,0.884,0.933
5.0,0.884,0.933
6.0,0.884,0.933
7.0,0.884,0.933
8.0,0.884,0.933
9.0,0.884,0.933
10.0,0.884,0.933
11.0,0.884,0.933
12.0,0.884,0.933
13.0,0.884,0.933
14.0,0.884,0.933
15.0,0.884,0.933
16.0,0.884,0.933
17.0,0.884,0.933
18.0,0.884,0.933
19.0,0.884,0.933
20.0,0.884,0.933
21.0,0.884,0.933
22.0,0.884,0.933
23.0,0.884,0.933
24.0,0.884,0.933
25.0,0.884,0.933
26.0,0.884,0.933
27.0,0.884,0.933
28.0,0.884,0.933
29.0,0.884,0.933
30.0,0.884,0.933
31.0,0.884,0.933
32.0,0.884,0.933
33.0,0.884,0.933
34.0,0.884,0.933
35.0,0.884,0.933
36.0,0.884,0.933
37.0,0.884,0.933
38.0,0.884,0.933
39.0,0.884,0.933
40.0,0.884,0.933
41.0,0.884,0.933
42.0,0.884,0.933
43.0,0.884,0.933
44.0,0.884,0.933
45.0,0.884,0.933
46.0,0.884,0.933
47.0,0.884,0.933
48.0,0.884,0.933
49.0,0.884,0.933
50.0,0.884,0.933
51.0,0.884,0.933
52.0,0.884,0.933
53.0,0.884,0.933
54.0,0.884,0.933
55.0,0.884,0.933
56.0,0.884,0.933
57.0,0.884,0.933
58.0,0.884,0.933
59.0,0.884,0.933
60.0,0.884,0.933
61.0,0.884,0.933
62.0,0.884,0.933
63.0,0.884,0.933
64.0,0.884,0.933
65.0,0.884,0.933
66.0,0.884,0.933
67.0,0.884,0.933
68.0,0.884,0.933
69.0,0.884,0.933
70.0,0.884,0.933
71.0,0.884,0.933
72.0,0.884,0.933
73.0,0.884,0.933
74.0,0.884,0.933
75.0,0.884,0.933
76.0,0.884,0.933
77.0,0.884,0.933
78.0,0.884,0.933
79.0,0.884,0.933
80.0,0.884,0.933
81.0,0.884,0.933
82.0,0.884,0.933
83.0,0.884,0.933
84.0,0.884,0.933
85.0,0.884,0.933
86.0,0.884,0.933
87.0,0.884,0.933
88.0,0.884,0.933
89.0,0.884,0.933
90.0,0.884,0.933
91.0,0.884,0.933
92.0,0.884,0.933
93.0,0.884,0.933
94.0,0.884,0.933
95.0,0.884,0.933
96.0,0.884,0.933
97.0,0.884,0.933
98.0,0.884,0.933
99.0,0.884,0.933
100.0,0.884,0.933
101.0,0.884,0.933
102.0,0.884,0.933
103.0,0.884,0.933
104.0,0.884,0.933
105.0,0.884,0.933
106.0,0.884,0.933
107.0,0.884,0.933
108.0,0.884,0.933
109.0,0.884,0.933
110.0,0.884,0.933
111.0,0.884,0.933
112.0,0.884,0.933
113.0,0.884,0.933
114.0,0.884,0.933
115.0,0.884,0.933
116.0,0.884,0.933
117.0,0.884,0.933
118.0,0.884,0.933
119.0,0.884,0.933
120.0,0.884,0.933
121.0,0.884,0.933
122.0,0.884,0.933
123.0,0.884,0.933
124.0,0.884,0.933
125.0,0.884,0.933
126.0,0.884,0.933
127.0,0.884,0.933
128.0,0.884,0.933
129.0,0.884,0.933
130.0,0.884,0.933
131.0,0.884,0.933
132.0,0.884,0.933
133.0,0.884,0.933
134.0,0.884,0.933
135.0,0.884,0.933
136.0,0.884,0.933
137.0,0.884,0.933
138.0,0.884,0.933
139.0,0.884,0.933
140.0,0.884,0.933
141.0,0.884,0.933
142.0,0.884,0.933
143.0,0.884,0.933
144.0,0.884,0.933
145.0,0.884,0.933
146.0,0.884,0.933
147.0,0.884,0.933
148.0,0.884,0.933
149.0,0.884,0.933
150.0,0.884,0.933
151.0,0.884,0.933
152.0,0.884,0.933
153.0,0.884,0.933
154.0,0.884,0.933
155.0,0.884,0.933
156.0,0.884,0.933
157.0,0.884,0.933
158.0,0.884,0.933
159.0,0.884,0.933
160.0,0.884,0.933
161.0,0.884,0.933
162.0,0.884,0.933
163.0,0.884,0.933
164.0,0.884,0.933
165.0,0.884,0.933
166.0,0.884,0.933
167.0,0.884,0.933
168.0,0.884,0.933
169.0,0.884,0.933
170.0,0.884,0.933
171.0,0.884,0.933
172.0,0.884,0.933
173.0,0.884,0.933
174.0,0.884,0.933
175.0,0.884,0.933
176.0,0.884,0.933
177.0,0.884,0.933
178.0,0.884,0.933
179.0,0.884,0.933
180.0,0.884,0.933
181.0,0.884,0.933
182.0,0.884,0.933
183.0,0.884,0.933
184.0,0.884,0.933
185.0,0.884,0.933
186.0,0.884,0.933
187.0,0.884,0.933
188.0,0.884,0.933
189.0,0.884,0.933
190.0,0.884,0.933
191.0,0.884,0.933
192.0,0.884,0.933
193.0,0.884,0.933
194.0,0.884,0.933
195.0,0.884,0.933
196.0,0.884,0.933
197.0,0.884,0.933
198.0,0.884,0.933
199.0,0.884,0.933
200.0,0.884,0.933
201.0,0.884,0.933
202.0,0.884,0.933
203.0,0.884,0.933
204.0,0.884,0.933
205.0,0.884,0.933
206.0,0.884,0.933
207.0,0.884,0.933
208.0,0.884,0.933
209.0,0.884,0.933
210.0,0.884,0.933
211.0,0.884,0.933
212.0,0.884,0.933
213.0,0.884,0.933
214.0,0.884,0.933
215.0,0.884,0.933
216.0,0.884,0.933
217.0,0.884,0.933
218.0,0.884,0.933
219.0,0.884,0.933
220.0,0.884,0.933
221.0,0.884,0.933
222.0,0.884,0.933
223.0,0.884,0.933
224.0,0.884,0.933
225.0,0.884,0.933
226.0,0.884,0.933
227.0,0.884,0.933
228.0,0.884,0.933
229.0,0.884,0.933
230.0,0.884,0.933
231.0,0.884,0.933
232.0,0.884,0.933
233.0,0.884,0.933
234.0,0.884,0.933
235.0,0.884,0.933
236.0,0.884,0.933
237.0,0.884,0.933
238.0,0.884,0.933
239.0,0.884,0.933
240.0,0.884,0.933
241.0,0.884,0.933
242.0,0.884,0.933
243.0,0.884,0.933
244.0,0.884,0.933
245.0,0.884,0.933
246.0,0.884,0.933
247.0,0.884,0.933
248.0,0.884,0.933
249.0,0.884,0.933
250.0,0.884,0.933
